What is the name of the dog you would like to submit a response for?,What is the gender of {{field:dog_name}},Do you know the age of {{field:dog_name}}?,Please enter the age of {{field:dog_name}} in months:,Did you acquire {{field:dog_name}} between 2 and 6 months?,Did {{field:dog_name}} attend puppy training classes between 2 and 6 months?,What style of training was taught to you and {{field:dog_name}} during class?,Where was puppy training offered?,Did {{field:dog_name}} attend any training classes after 6 months of age?,What style of training was used?,Who trained you and {{field:dog_name}}?,At what age did you complete training {{field:dog_name}}?,Is there at least one situation in which {{field:dog_name}} behaves aggressively?,Who or what has {{field:dog_name}} acted aggressively toward?,Is there at least one situation in which {{field:dog_name}} is fearful or anxious?,What sort of fears and/or anxiety has {{field:dog_name}} had?,Do you consider {{field:dog_name}} to have a problem with jumping up on people?,Who does {{field:dog_name}} jumped up on?,Does {{field:dog_name}} bark excessively?,When has {{field:dog_name}} excessively barked?,Has {{field:dog_name}} ever eaten feces?,What type of feces has {{field:dog_name}} eaten?,Has {{field:dog_name}} ever had any repetitive behaviors?,What sort of repetitive behaviors have you seen with {{field:dog_name}}?,Have you ever had a problem with {{field:dog_name}} soiling in the house?,When has {{field:dog_name}} soiled in the house?,How has {{field:dog_name}} soiled in the house?,Where has {{field:dog_name}} soiled in the house?,Has {{field:dog_name}} ever rolled in repulsive material?,In what repulsive material has {{field:dog_name}} rolled?,Do you consider{{field:dog_name}} to be overactive/hyperactive?,In what ways has {{field:dog_name}} been overactive/hyperactive?,Has {{field:dog_name}} ever exhibited destructive behavior in the home (other than puppy chewing behavior)?,When has {{field:dog_name}} been destructive?,Has {{field:dog_name}} ever run away/escaped?,Which of the following describes how {{field:dog_name}} has run away/escaped?,Have you ever had a problem with {{field:dog_name}} mounting/humping?,Who or what has {{field:dog_name}} mounted/humped?,Would you like to enter information for another dog you own?,id,msg,list,sep,Submitted At,Token
Luna,Female,Yes,96.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,"Myself/family member attended group classes, Hired in home private trainer","Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Familiar dogs in the home, Animals other than dogs, Unfamiliar dogs away from the home",True,"Fear of veterinary visits, Fear of other dogs, Fear of animals other than dogs, Generalized anxiety",False,,False,,False,,True,Licking fabric,True,While sleeping,Urine,Specific locations,True,"Garbage, Dead stuff",False,,False,,False,,True,Familiar dogs,False,5e8cc0d30dc31d0230251277b48d089a,,, ,5/7/2020 18:54:24,im3dhpaw4tnr5np2t8rqeim3dhpjtudi
Kaia,Female,Yes,58.0,False,I don't know,,,No,,,,True,Unfamiliar dogs away from the home,True,Fear of other dogs,True,"Familiar people, Stangers, Owners",False,,False,,False,,True,Owners are present,Both feces and urine,Anywhere,False,,False,,False,,False,,False,,True,db806e9a62d86e18cca9a7cde6e376f5,,, ,5/7/2020 18:56:14,y5sq7zed75ki42lty5sqgi0vieesopls
Bowman,Male,Yes,12.0,True,No,,,Yes,Mixed balance of both reward and discipline,"Sent to professional training school/boot camp, Hired in home private trainer",18-36 months (social maturity),True,"Strangers visiting the home, Familiar people in the home, Strangers away from the home, Familiar people away from the home, Unfamiliar dogs away from the home",True,"Fear of other dogs, Generalized anxiety, Fear of veterinary visits, Fear of noises",False,,False,,False,,True,Licking of the wrist/hock,True,Owners are present,Both feces and urine,Specific locations,True,Deer and goose feces,False,,False,,False,,False,,False,db7f397c11e9856da1b7b6f3259d3e07,,, ,5/7/2020 19:01:15,d6vg5uybpv76pqj83lt3d6vg5unaojlu
Lexi,Female,Yes,123.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,db806e9a62d86e18cca9a7cde6e376f5,We have submissions for:,,", ",5/7/2020 18:57:27,k90wt7x8i45ioy56k90wdupz5n6zex8m
Waffles,Female,Yes,27.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,on-leash aggressive behaviors towards other animals,True,Separation anxiety,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,bb8ad9cda9d62e1127ea43d503f86279,,, ,5/7/2020 18:59:01,fgh9ybwpqetphefgh9ytgxpo1z5tjf5f
Frankie,Male,Yes,118.0,False,I don't know,,,Yes,Reward based,"Myself/family member attended group classes, Hired in home private trainer","Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,True,31e0c9089471d5eee8687f6cb3fbe2ff,,, ,5/7/2020 19:22:29,mbkt8t9g0b3mx9gsxnd8mbkt8thagk5e
Kipper,Male,Yes,76.0,False,I don't know,,,Yes,Reward based,"Myself/family member attended group classes, Hired in home private trainer","Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,Fear of veterinary visits,False,,False,,True,"Their own feces, Dog feces other than their own",False,,True,"Owners are present, Owners are away",Feces,Specific locations,False,,False,,True,Owner is away,False,,False,,True,31e0c9089471d5eee8687f6cb3fbe2ff,We have submissions for:,,", ",5/7/2020 19:27:11,7bi35x81nwev1ehfnv17bi35xfsfyew4
Aggy,Female,Yes,120.0,False,I don't know,,,Yes,Reward based,"Myself/family member attended group classes, Hired in home private trainer","Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,True,"Fear of veterinary visits, Generalized anxiety",False,,False,,True,"Their own feces, Dog feces other than their own",True,Sucking and munching gently on stuffed toys,False,,,,False,,False,,True,Owner is away,False,,False,,False,31e0c9089471d5eee8687f6cb3fbe2ff,We have submissions for:,,", ",5/7/2020 19:35:01,9j7ak8shxbzby7yt9j7aky4d1tncyukp
Zoe,Female,Yes,100.0,True,Yes,Reward based,Myself/family member attended group classes,No,,,,False,,True,Fear of thunderstorms,False,,False,,True,"Their own feces, The feces of other animals",False,,False,,,,True,Dead stuff,False,,False,,False,,True,Inanimate objects,False,e0a25363f55c10b1901ffc20b8a03602,,, ,5/7/2020 20:12:23,7bjjz4s9uw3dv7bjn1xcfldauxdd3e8z
Kirby,Female,Yes,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f31f16581c07231af320cce057bec748,,, ,5/7/2020 20:14:07,mrxzw6tq0w66u33wh4xz1rmrxzwj0oj7
Thorne,Male,Yes,19.0,False,No,,,Yes,Reward based,"Myself/family member attended group classes, Hired in home private trainer",6 to 18 months (adolescence),False,,True,Travel anxiety,True,Stangers,True,At triggers (outside),True,"Dog feces other than their own, The feces of other animals",False,,False,,,,False,,True,"Difficulty settling, Constant moving/jumping, Impulsiveness, Easily distracted",True,"Owner is present, Owner is away",False,,False,,False,67b217271df01a3737f806b94c0d8d9d,,, ,5/7/2020 21:38:16,wi68fjw03snnk4wrxpywi68fjw0s52ed
riley,Male,Yes,120.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,97b6f9475751ed7eb445d24cab3aacaf,,, ,5/7/2020 21:37:23,96dt8yawp41gbtdcmyg96dt8yjv5rsyh
Phil,Male,Yes,63.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,Travel anxiety,False,,False,,True,"The feces of other animals, Dog feces other than their own",False,,False,,,,True,Dead stuff,False,,False,,False,,False,,False,d5e2ecd15c88c7edc8535c83fb146395,,, ,5/7/2020 22:01:52,5qguvkkxqv71b9y5qas8wr4luw78pa1r
Louie,Male,Yes,84.0,True,Yes,Reward based,Myself/family member attended group classes,No,,,,True,"Strangers visiting the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs",True,"Fear of veterinary visits, Fear of other dogs",False,,False,,False,,False,,True,"As a puppy, first 2 weeks of potty training",Urine,Anywhere,False,,False,,False,,False,,False,,False,bb3cfcd2e48cb65c26ce42ae279d98b0,,, ,5/7/2020 22:32:31,j82ai1e499mvnvpapj82ai1ek88jdmt9
Henry,Male,Yes,138.0,False,I don't know,,,No,,,,True,Strangers visiting the home,True,"Fear of veterinary visits, Fear of thunderstorms, Separation anxiety",False,,False,,False,,False,,False,,,,False,,False,,False,,True,Escaped when out,False,,False,c351398a6884ebb6c11cc50028471180,,, ,5/7/2020 22:29:27,5noq5us2jmz3p5p9y7wg5noq5uvo2yhm
Carnegie,Male,Yes,36.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"6 to 18 months (adolescence), 18-36 months (social maturity), Continue to practice and use training skills in home",False,,False,,False,,False,,True,"Their own feces, Dog feces other than their own, The feces of other animals",False,,False,,,,True,Dead stuff,False,,False,,False,,False,,True,50908dd4dd57366732f733fc4c59b42a,,, ,5/7/2020 23:01:58,984n37e3g2y38z6d398yy88xhl98m1az
Ciara,Female,Yes,60.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,Familiar dogs in the home,False,,True,"Owners, Familiar people, Stangers",False,,False,,False,,True,Owners are present,Urine,Specific locations,False,,True,"Difficulty settling, Impulsiveness, Easily distracted, Constant moving/jumping",True,"Owner is present, Owner is away",True,"Returns home after escape, Escapes from confinement, Escapes from home",False,,True,b2fab11c197a8c9271d71bbe369e05e3,,, ,5/7/2020 23:34:39,sr0y0xr4ieljht3sgisr0y0q40jq93xl
Kaliska,Female,Yes,60.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,Familiar dogs in the home,False,,False,,False,,False,,False,,True,"Owners are present, Exited/overwhelmed",Both feces and urine,Anywhere,False,,False,,True,Owner is present,True,"Escapes from home, Returns home after escape",False,,False,b2fab11c197a8c9271d71bbe369e05e3,We have submissions for:,,", ",5/7/2020 23:39:14,ql1d95x1g4cria16tql1deazm5ff7g56
Aldo,Male,Yes,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,d6b342063d515839e9cd96dbc24742dc,,, ,5/7/2020 23:44:15,wepy67ns8ldc3rq5n16o27lhgwepy67o
Aela,Female,Yes,93.0,False,No,,,No,,,,True,"Familiar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs, Strangers visiting the home, Veterinarians",True,"Fear of crowds, Fear of veterinary visits, Fear of noises, Fear of thunderstorms",False,,False,,True,The feces of other animals,False,,False,,,,False,,False,,True,Owner is away,True,"Returns home after escape, Escapes from home",False,,True,d6b342063d515839e9cd96dbc24742dc,We have submissions for:,,", ",5/7/2020 23:49:34,tootv401i1swyvkpaytootocbvcr3hge
Phoenix,Female,Yes,72.0,False,No,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,50908dd4dd57366732f733fc4c59b42a,We have submissions for:,,", ",5/7/2020 23:51:23,xuh5eq4d0skxiviv74axuh5eq40f1qzi
Sierra,Female,Yes,96.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,18-36 months (social maturity),True,Strangers visiting the home,True,"Fear of crowds, Fear of noises, Generalized anxiety",False,,False,,True,"Dog feces other than their own, The feces of other animals",True,Licking of the wrist/hock,True,"Owners are present, Exited/overwhelmed",Urine,Anywhere,False,,False,,False,,True,Escaped when out,False,,False,50908dd4dd57366732f733fc4c59b42a,We have submissions for:,,", ",5/7/2020 23:55:29,juvdsle4jd4bqflpqzjuvdsletpm29ps
Dale,Male,Yes,84.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,d4f1ad74fe7258a2995eb025ee35938b,,, ,5/8/2020 0:28:29,ywwokabo4qhfk6cknpuywwo5iv8mq9jy
Zadie Bobo,Female,Yes,168.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,d4f1ad74fe7258a2995eb025ee35938b,We have submissions for:,,", ",5/8/2020 0:29:19,qeoi1kjgnyq9msfxk1qeoi1kjniyv1bc
Takoda,Male,Yes,83.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,True,Just when I walk away from him in public and someone else has his leash,False,,False,,False,,False,,False,,,,True,Something in the grass,False,,False,,True,Escaped when out,True,"Unfamiliar dogs, Familiar dogs",False,816d731b1c0cab181c7bb14678b4a1b7,,, ,5/8/2020 0:41:45,3uksb7d3hcc8woo3uks9gl9tvzc1jssc
Ghost,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,062218ba10ced6981290209e650e2134,,, ,5/8/2020 1:30:41,3de4nqkyyu9u1nd2f3de4nqt6n7cciea
Husk,Male,Yes,23.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,"Continue to practice and use training skills in home, 6 to 18 months (adolescence)",True,"Familiar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs",False,,True,"Owners, Familiar people, Stangers",False,,False,,False,,True,Exited/overwhelmed,Urine,Anywhere,False,,False,,False,,True,"Escaped when out, Returns home after escape",False,,False,062218ba10ced6981290209e650e2134,We have submissions for:,,", ",5/8/2020 1:33:50,vhalbxf0i4la44ylrapkavhalbisyxwt
Fig,Female,Yes,35.0,False,No,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,c2381dd1c9ba2fae67ca786b6523feb3,,, ,5/8/2020 1:41:48,ecqjrmt5accosrws7xecqjrnhhxrzguz
Eva,Female,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,b934e856976495bc0ef2ce899fa8dae1,,, ,5/8/2020 2:26:05,bslhgjqw91nmidxi3bslhg48rh0fsid6
Bruno,Male,Yes,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,b934e856976495bc0ef2ce899fa8dae1,We have submissions for:,,", ",5/8/2020 2:26:40,phpbyiu8aybxn14mosdupwfphpbyiaov
Fergus,Male,Yes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,830073b31ecedd0cdf286d8ce9951743,,, ,5/8/2020 3:16:09,danqdrfhdv642udanqdwrp8fxy4ezvhj
Josie,Female,Yes,102.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,Unfamiliar dogs away from the home,False,,False,,False,,True,"The feces of other animals, Dog feces other than their own",False,,False,,,,True,"I dont know what ""dog perfume"" she prefers or what she  rolls in - it happens once in a while on a walk without leash or in the our own garden. I assume it is some smell - perhaps urine - but never anything that sits in her fur afterwards like e.g. feces or garbage. I just see from distance and sometimes smell it on her afterwards, sending her into shower :-)",False,,False,,True,"She ran away once, chasing fireworks, and she came back luckily, very quickly",True,"People, Familiar dogs",False,d3e58aaf0e5b3acc4ee94ddbe6fec9aa,,, ,5/8/2020 11:13:37,4du3xgijrjuvyonsfs4du3xsu94jua2y
Abby,Female,Yes,14.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,False,,False,,False,,True,"Dog feces other than their own, The feces of other animals",False,,False,,,,False,,False,,False,,False,,False,,False,bddba0ae82923c0d84a858f2c10b9ab3,,, ,5/8/2020 11:48:17,9xralzbl04t3akn9xralzboa35epw2gt
Jax,Male,Yes,70.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,"Veterinarians, Strangers away from the home",True,Fear of veterinary visits,False,,False,,True,Dog feces other than their own,False,,False,,,,False,,False,,True,Owner is away,False,,False,,False,ad277fe50c31be40d25de38819525489,,, ,5/8/2020 11:56:40,s5xshh01y3rr4k675ez5o9s5xshh0a6e
Aero,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,ade118870d11410dda9fd93a37177726,,, ,5/8/2020 12:42:59,im14hnsgn9jy2f42jugim14hubq3ii3y
Murphy,Female,Yes,124.0,True,No,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Animals other than dogs, Familiar dogs in the home, Unfamiliar dogs in the home",True,"Fear of veterinary visits, Fear of noises, Fear of crowds",False,,True,"At triggers (inside), At triggers (outside), Owners are present, Owners are away, To get attention, When frustrated",False,,False,,False,,,,True,Dead stuff,False,,False,,True,Escapes from home,False,,True,6e4047d7e5b229d306a72349afc649b2,,, ,5/8/2020 12:52:45,yhf7jtcw3y573x5m5fu7yyhf7jtfvxrn
Roxy,Female,Yes,115.0,True,No,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,Continue to practice and use training skills in home,True,"Strangers visiting the home, Strangers away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home",True,"Fear of crowds, Fear of veterinary visits, Fear of noises, Fear of thunderstorms, Fear of other dogs, Fear of animals other than dogs, Generalized anxiety",False,,False,,False,,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,True,6e4047d7e5b229d306a72349afc649b2,We have submissions for:,,", ",5/8/2020 13:10:25,bs8tw1axsgtjbs5ia74oe2ltupf70557
Sky,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,6e4047d7e5b229d306a72349afc649b2,We have submissions for:,,", ",5/8/2020 13:11:05,2sc7fi2cjik1p2sc7rex3t1unywwvdlj
Rusty,Male,Yes,19.0,True,No,,,No,,,,True,Unfamiliar dogs away from the home,False,,True,"Familiar people, Stangers",False,,True,"Their own feces, Dog feces other than their own, The feces of other animals",False,,False,,,,False,,False,,True,Owner is away,False,,False,,True,82b173eaf60c0aea1a8a4f64af6ab25f,,, ,5/8/2020 13:16:33,3lpkth0boj67q1i9dc3lpkfx35p59gbh
Tasha,Female,Yes,65.0,True,No,,,No,,,,True,Unfamiliar dogs in the home,True,"Separation anxiety, Generalized anxiety, Post-traumatic Stress Disorder (PTSD), Travel anxiety, Fear of veterinary visits, Fear of other dogs, Fear of new people (predominantly men)",False,,True,"At triggers (inside), At triggers (outside), Owners are present, Owners are away, To get attention, Barks the most when people arrive to the house",False,,False,,True,When living with a man she feared and wasn’t taken out regularly ,Both feces and urine,Specific locations,True,"One time, wild animal feces",False,,True,"Owner is away, When left in a crate, chews items outside of crate but not items placed inside",False,,False,,False,2d804b354b44b49f55104781045968b8,,, ,5/8/2020 13:23:34,yotce8pcik8bita44yotcetrparg2jyf
Misty,Female,Yes,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,82b173eaf60c0aea1a8a4f64af6ab25f,We have submissions for:,,", ",5/8/2020 13:17:06,ulg0msv3hm22c7nepyeulg4sl6ch8sta
Sabi,Male,Yes,45.0,False,I don't know,,,Yes,Reward based,Hired in home private trainer,6 to 18 months (adolescence),False,,False,,False,,False,,False,,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,False,bae37d569570654bc3792ed13585b4d1,,, ,5/8/2020 13:22:46,jx8wz0v8yvw7s14t331jx8wzjgf86vpc
Henley,Male,Yes,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f8ba6adf793f475de589a94635a11141,,, ,5/8/2020 13:28:54,b6nbkv0c3d59bh2oxb9b6nbkvw2sg4n8
Fonzy,Male,Yes,144.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,Fear of thunderstorms,False,,False,,False,,False,,False,,,,True,"Feces, Dead stuff",False,,False,,False,,False,,False,e0e180a0a7bcb51a9a87db4580d9e905,,, ,5/8/2020 15:57:56,01hqfy0flbs3x66jm3o01hqp155mrcbm
Timber,Male,Yes,119.0,True,No,,,No,,,,True,"Familiar people in the home, Familiar people away from the home, Strangers visiting the home, Familiar dogs in the home, Familiar dogs away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Veterinarians",True,"Fear of crowds, Fear of veterinary visits, Travel anxiety",False,,False,,True,The feces of other animals,False,,False,,,,True,"Feces, Dead stuff",False,,True,"Owner is present, Owner is away",True,"Escaped when out, Returns home after escape",False,,False,c957c9575bf89aaad33f314baa13a63e,,, ,5/8/2020 16:11:04,c0kzvwatnczbhzc0kxr7lzl51yscopxf
Olaf,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,43376ad6e58516dfbd3466505251daac,,, ,5/8/2020 16:17:34,4jgun745k6jwb9rs4jgun7iu53svzk26
Murphy,Male,Yes,60.0,False,No,,,No,,,,True,"Strangers away from the home, Unfamiliar dogs away from the home",True,"Fear of veterinary visits, Fear of animals other than dogs",False,,False,,True,Dog feces other than their own,False,,False,,,,False,,False,,False,,False,,False,,True,43376ad6e58516dfbd3466505251daac,We have submissions for:,,", ",5/8/2020 16:20:41,e4v3bf1utzfn8xqpfxqzhe4v3b2kg7fz
Pinot,Male,Yes,50.0,False,No,,,No,,,,True,"Strangers visiting the home, Strangers away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Veterinarians, Groomers, Familiar people in the home",True,"Fear of veterinary visits, Separation anxiety, Generalized anxiety, Post-traumatic Stress Disorder (PTSD)",False,,False,,False,,False,,False,,,,False,,False,,True,Owner is away,False,,False,,False,43376ad6e58516dfbd3466505251daac,We have submissions for:,,", ",5/8/2020 16:22:57,lu48w7budq01o9r56jscg7lu4816qn35
